painter,painterLabel,date_of_birth,image,place_of_birth,place_of_birthLabel,movement,movementLabel,coordinate_location
http://www.wikidata.org/entity/Q327364,Jacques Fouquier,1590-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20Jacques%20Fouquier%2C%20RP-P-2004-73-16.jpg,http://www.wikidata.org/entity/Q12892,Antwerp,http://www.wikidata.org/entity/Q37853,Baroque,Point(4.399722222 51.221111111)
http://www.wikidata.org/entity/Q371979,Pierre Puget,1620-10-16T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Granet055%20Puget%20Pierre%20autoportrait.jpg,http://www.wikidata.org/entity/Q23482,Marseille,http://www.wikidata.org/entity/Q37853,Baroque,Point(5.376388888 43.296666666)
http://www.wikidata.org/entity/Q323144,Ambroise Louis Garneray,1783-02-19T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Ambroise%20Louis%20Garneray-P6280070.JPG,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q37068,Romanticism,Point(2.352222222 48.856666666)
http://www.wikidata.org/entity/Q458288,Alexandre-Gabriel Decamps,1803-03-03T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Alexandre%20Gabriel%20Decamps%20autoportrait.jpg,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q37068,Romanticism,Point(2.352222222 48.856666666)
http://www.wikidata.org/entity/Q544646,Léon Cogniet,1794-08-29T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/L%C3%A9on%20Cogniet%20self-portrait%201818.jpg,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q37068,Romanticism,Point(2.352222222 48.856666666)
http://www.wikidata.org/entity/Q676001,Eugène Devéria,1805-04-22T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Eug%C3%A8ne%20Dev%C3%A9ria%20autoportrait%201.jpg,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q37068,Romanticism,Point(2.352222222 48.856666666)
http://www.wikidata.org/entity/Q676001,Eugène Devéria,1808-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Eug%C3%A8ne%20Dev%C3%A9ria%20autoportrait%201.jpg,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q37068,Romanticism,Point(2.352222222 48.856666666)
http://www.wikidata.org/entity/Q728173,Achille Devéria,1800-02-06T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Achille%20Dev%C3%A9ria-Self-Portrait%2C%20c.%201835.jpg,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q37068,Romanticism,Point(2.352222222 48.856666666)
http://www.wikidata.org/entity/Q1354027,Paul Huet,1803-10-03T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Huet.jpg,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q37068,Romanticism,Point(2.352222222 48.856666666)
http://www.wikidata.org/entity/Q2085926,Léon Riesener,1808-01-21T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20Leon%20Riesener.jpg,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q37068,Romanticism,Point(2.352222222 48.856666666)
http://www.wikidata.org/entity/Q2831339,Albert Lenoir,1801-10-21T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Buste%20d%27Albert%20Lenoir%20%281801-1891%29.jpg,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q37068,Romanticism,Point(2.352222222 48.856666666)
http://www.wikidata.org/entity/Q3275249,Marie-Élisabeth Cavé,1806-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Mme%20Edmond%20Cav%C3%A9%20c1831-34%20by%20Ingres%20-%20NY%20Met%20Museum%20of%20Art.jpg,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q37068,Romanticism,Point(2.352222222 48.856666666)
